region,type,pct,data,consensus
hp+,mismatch,0.0102,pb_ccs,isoCon
hp+,insertion,0,pb_ccs,isoCon
hp+,deletion,0.0707,pb_ccs,isoCon
hp+,total,0.0809,pb_ccs,isoCon
hp-,mismatch,0.0045,pb_ccs,isoCon
hp-,insertion,0.0026,pb_ccs,isoCon
hp-,deletion,0,pb_ccs,isoCon
hp-,total,0.0071,pb_ccs,isoCon
all,mismatch,0.0055,pb_ccs,isoCon
all,insertion,0.0022,pb_ccs,isoCon
all,deletion,0.0126,pb_ccs,isoCon
all,total,0.0202,pb_ccs,isoCon
hp+,mismatch,0.2405,pb_ccs,kmerCon
hp+,insertion,0.0471,pb_ccs,kmerCon
hp+,deletion,0.0267,pb_ccs,kmerCon
hp+,total,0.3143,pb_ccs,kmerCon
hp-,mismatch,0.2505,pb_ccs,kmerCon
hp-,insertion,0.0503,pb_ccs,kmerCon
hp-,deletion,0.0401,pb_ccs,kmerCon
hp-,total,0.3409,pb_ccs,kmerCon
all,mismatch,0.2487,pb_ccs,kmerCon
all,insertion,0.0497,pb_ccs,kmerCon
all,deletion,0.0377,pb_ccs,kmerCon
all,total,0.3361,pb_ccs,kmerCon
hp+,mismatch,0.2173,pb_ccs,miniCon
hp+,insertion,0.0334,pb_ccs,miniCon
hp+,deletion,0.0386,pb_ccs,miniCon
hp+,total,0.2893,pb_ccs,miniCon
hp-,mismatch,0.2182,pb_ccs,miniCon
hp-,insertion,0.0361,pb_ccs,miniCon
hp-,deletion,0.0389,pb_ccs,miniCon
hp-,total,0.2932,pb_ccs,miniCon
all,mismatch,0.2181,pb_ccs,miniCon
all,insertion,0.0356,pb_ccs,miniCon
all,deletion,0.0388,pb_ccs,miniCon
all,total,0.2925,pb_ccs,miniCon
hp+,mismatch,0.0172,pb_ccs,umiCon
hp+,insertion,0.0015,pb_ccs,umiCon
hp+,deletion,0.0065,pb_ccs,umiCon
hp+,total,0.0252,pb_ccs,umiCon
hp-,mismatch,0.0094,pb_ccs,umiCon
hp-,insertion,0.0078,pb_ccs,umiCon
hp-,deletion,0.0007,pb_ccs,umiCon
hp-,total,0.0179,pb_ccs,umiCon
all,mismatch,0.0108,pb_ccs,umiCon
all,insertion,0.0067,pb_ccs,umiCon
all,deletion,0.0017,pb_ccs,umiCon
all,total,0.0192,pb_ccs,umiCon
hp+,mismatch,0.2611,zymock_r10,isoCon
hp+,insertion,0.019,zymock_r10,isoCon
hp+,deletion,0.2341,zymock_r10,isoCon
hp+,total,0.5141,zymock_r10,isoCon
hp-,mismatch,0.2066,zymock_r10,isoCon
hp-,insertion,0.031,zymock_r10,isoCon
hp-,deletion,0.0527,zymock_r10,isoCon
hp-,total,0.2903,zymock_r10,isoCon
all,mismatch,0.2163,zymock_r10,isoCon
all,insertion,0.0289,zymock_r10,isoCon
all,deletion,0.085,zymock_r10,isoCon
all,total,0.3302,zymock_r10,isoCon
hp+,mismatch,1.6552,zymock_r10,kmerCon
hp+,insertion,0.0129,zymock_r10,kmerCon
hp+,deletion,0.2716,zymock_r10,kmerCon
hp+,total,1.9397,zymock_r10,kmerCon
hp-,mismatch,0.3769,zymock_r10,kmerCon
hp-,insertion,0.1181,zymock_r10,kmerCon
hp-,deletion,0.0197,zymock_r10,kmerCon
hp-,total,0.5148,zymock_r10,kmerCon
all,mismatch,0.6053,zymock_r10,kmerCon
all,insertion,0.0993,zymock_r10,kmerCon
all,deletion,0.0647,zymock_r10,kmerCon
all,total,0.7694,zymock_r10,kmerCon
hp+,mismatch,0.7742,zymock_r10,miniCon
hp+,insertion,0.2137,zymock_r10,miniCon
hp+,deletion,0.3918,zymock_r10,miniCon
hp+,total,1.3798,zymock_r10,miniCon
hp-,mismatch,0.2997,zymock_r10,miniCon
hp-,insertion,0.1376,zymock_r10,miniCon
hp-,deletion,0.0844,zymock_r10,miniCon
hp-,total,0.5218,zymock_r10,miniCon
all,mismatch,0.3851,zymock_r10,miniCon
all,insertion,0.1513,zymock_r10,miniCon
all,deletion,0.1398,zymock_r10,miniCon
all,total,0.6762,zymock_r10,miniCon
hp+,mismatch,0.2194,zymock_r10,umiCon
hp+,insertion,0.0566,zymock_r10,umiCon
hp+,deletion,0.5557,zymock_r10,umiCon
hp+,total,0.8316,zymock_r10,umiCon
hp-,mismatch,0.1753,zymock_r10,umiCon
hp-,insertion,0.1152,zymock_r10,umiCon
hp-,deletion,0.1618,zymock_r10,umiCon
hp-,total,0.4523,zymock_r10,umiCon
all,mismatch,0.1831,zymock_r10,umiCon
all,insertion,0.1048,zymock_r10,umiCon
all,deletion,0.2317,zymock_r10,umiCon
all,total,0.5196,zymock_r10,umiCon
hp+,mismatch,0.1155,zymock_r9,isoCon
hp+,insertion,0.1151,zymock_r9,isoCon
hp+,deletion,0.361,zymock_r9,isoCon
hp+,total,0.5915,zymock_r9,isoCon
hp-,mismatch,0.0751,zymock_r9,isoCon
hp-,insertion,0.2042,zymock_r9,isoCon
hp-,deletion,0.1085,zymock_r9,isoCon
hp-,total,0.3878,zymock_r9,isoCon
all,mismatch,0.0823,zymock_r9,isoCon
