#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	85	0	1381	0	0	0	0	0	373	0	0
OTU_2	0	0	0	0	0	0	0	0	0	61	0	0
OTU_3	0	0	0	0	0	0	0	0	1287	0	0	0
OTU_4	0	0	0	17	0	0	0	0	0	0	0	0
OTU_5	0	0	0	0	0	0	0	0	0	1035	0	0
OTU_6	0	733	387	98	0	0	0	0	0	144	0	0
OTU_7	0	0	0	0	0	0	0	0	0	7822	0	0
OTU_8	0	0	0	0	0	0	0	0	0	14	0	0
OTU_9	0	0	362	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	0	0	0	759	0	0	0	0	0
OTU_11	4135	46344	0	0	0	0	0	0	0	2824	0	0
OTU_12	0	104	0	0	0	0	0	0	0	0	0	0
OTU_13	18	39865	0	0	0	0	0	0	167	9304	16	0
OTU_14	0	12	0	0	0	0	0	0	0	0	0	0
OTU_15	7421	103805	0	24393	0	0	0	0	165227	74	0	173079
OTU_16	0	0	0	0	0	0	0	0	0	18157	0	0
OTU_17	19	375	0	0	0	0	0	0	110	28	0	0
OTU_18	0	0	0	0	0	0	0	0	0	0	0	28
OTU_19	0	0	0	0	0	0	0	0	0	0	0	30
OTU_20	0	4360	0	0	0	0	0	0	0	0	0	0
OTU_21	0	0	0	0	0	0	0	0	0	29692	0	0
OTU_22	0	0	0	0	0	0	0	0	0	326	0	0
OTU_23	0	25516	0	0	0	0	0	0	636	20668	0	0
OTU_24	0	0	0	0	0	0	0	0	0	4649	0	0
OTU_25	0	0	0	0	0	0	0	48	0	0	0	0
OTU_26	1157	15652	0	97	0	0	100	0	2753	470	0	0
OTU_27	0	24461	0	55	0	0	0	0	1131	6848	0	0
OTU_28	35	21701	725	3305	0	0	0	0	2728	8301	0	103
OTU_29	0	0	0	0	0	0	0	0	0	927	0	0
OTU_30	0	0	0	3525	2364	0	0	3775	0	0	4134	0
OTU_31	18	0	0	0	0	0	0	0	0	0	0	0
OTU_32	0	0	0	0	0	0	0	0	0	658	0	0
OTU_33	319	427	0	0	0	0	0	0	219	0	0	0
OTU_34	0	0	0	0	0	0	0	0	104097	0	0	0
OTU_35	307	2923	0	0	0	0	0	0	92	983	0	0
OTU_36	0	0	0	0	0	0	0	0	0	21	0	0
OTU_37	0	0	0	0	0	0	0	0	0	0	33	0
OTU_38	0	148609	0	0	21	0	21	0	0	2143	107	27
OTU_39	0	0	14	0	0	0	0	0	0	0	0	0
OTU_40	0	58	0	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	0	0	0	0	416	0	0
OTU_42	0	0	0	0	0	0	0	0	0	0	0	21
OTU_43	0	0	0	0	0	0	0	0	0	14	0	0
OTU_44	0	0	0	0	0	0	0	0	0	3101	0	0
OTU_45	0	347	0	0	0	0	0	0	249	0	0	0
OTU_46	0	0	0	0	0	0	0	0	0	12716	0	0
OTU_47	0	150	0	0	0	0	0	0	0	790	0	0
OTU_48	0	13	0	0	0	0	0	0	0	15757	0	0
OTU_49	0	0	0	0	0	0	0	0	0	75	0	0
OTU_50	0	0	0	13	0	0	0	0	0	0	0	0
OTU_51	0	96	0	0	0	0	0	0	0	0	0	0
OTU_52	0	0	0	0	0	0	0	186986	0	0	0	0
OTU_53	0	0	0	0	0	0	0	0	0	0	0	119
OTU_54	0	27	0	0	0	0	0	0	0	89	0	0
OTU_55	0	0	0	5536	0	0	0	0	0	0	0	0
OTU_56	0	0	0	0	0	0	0	0	0	648	0	0
OTU_57	0	0	0	0	0	0	0	0	0	1307	0	0
OTU_58	0	0	0	0	0	0	0	0	0	131	0	0
OTU_59	0	111	0	0	0	0	0	0	0	0	0	0
OTU_60	0	0	0	0	0	0	0	0	0	1451	0	0
OTU_61	0	551	0	0	0	0	0	0	0	2204	0	0
OTU_62	0	0	373	0	0	0	0	0	0	581	0	0
OTU_63	0	0	0	0	0	0	0	0	0	160	0	152
OTU_64	0	21	0	0	0	0	0	0	0	0	0	0
OTU_65	0	0	0	0	0	0	0	0	0	176402	0	0
OTU_66	47	159	151	5587	0	0	0	0	739	616	0	210
OTU_67	0	0	0	346	0	0	0	0	1706	0	0	0
OTU_68	6754	84352	2331	0	0	0	0	0	3031	34676	61	21
OTU_69	525	14479	791	2501	0	0	0	0	2436	16847	0	0
OTU_70	0	0	342	1105	0	0	0	0	0	0	0	198
OTU_71	0	0	0	0	0	0	0	0	0	367	0	0
OTU_72	0	0	0	0	0	0	4906	0	0	0	0	0
OTU_73	0	15	0	0	0	0	0	0	0	0	0	0
OTU_74	0	49	0	0	0	0	0	0	0	32018	0	57
OTU_75	0	0	0	0	0	0	0	0	0	2569	0	0
OTU_76	0	512	0	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	0	0	0	0	0	11	0	0	0
OTU_78	0	104	93	21	0	0	0	0	0	0	0	0
OTU_79	0	0	0	0	0	0	0	0	0	1232	0	0
OTU_80	0	0	0	0	0	0	61	0	26	104	0	746
OTU_81	0	234	0	0	0	0	0	0	0	0	0	0
OTU_82	0	0	0	0	0	0	0	0	0	287	0	0
OTU_83	0	0	0	0	0	0	0	0	8989	0	0	0
OTU_84	409	8818	872	1425	0	0	0	0	0	571	0	0
OTU_85	0	2594	0	0	0	0	0	0	0	5565	0	0
OTU_86	0	233	0	0	0	0	0	0	0	0	0	0
OTU_87	0	0	0	0	0	0	0	0	0	0	0	36
OTU_88	0	0	0	0	0	0	0	0	15	0	0	0
OTU_89	0	0	0	0	0	0	0	0	0	488	0	0
OTU_90	0	0	0	0	0	0	0	0	0	46	0	0
OTU_91	61	0	0	0	0	0	0	0	0	0	0	0
OTU_92	0	0	0	0	0	0	0	0	0	9798	0	0
OTU_93	0	164	0	0	0	0	0	0	0	2172	0	0
OTU_94	0	0	0	0	0	0	0	0	0	0	11	0
OTU_95	19434	6982	0	20791	0	0	0	0	8957	2316	0	0
OTU_96	27	74	141147	0	174117	34588	127	0	0	67	86729	0
OTU_97	0	0	131	0	0	0	0	0	0	0	0	0
OTU_98	0	0	0	20	0	0	0	0	10	0	0	0
OTU_99	0	0	0	0	0	0	0	199	0	0	2194	0
OTU_100	0	649	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	0	0	0	0	20060	0	0
OTU_102	0	17	0	0	0	0	59	0	0	17	0	22
OTU_103	0	0	0	189	118	0	187451	0	331	0	186	0
OTU_104	0	0	0	0	0	0	0	0	0	19713	0	0
OTU_105	0	0	0	0	0	0	0	0	0	0	79366	0
OTU_106	21507	77833	0	0	0	0	0	10	1604	4107	0	0
OTU_107	0	0	0	635	0	0	0	0	0	0	0	0
OTU_108	0	15	2166	0	0	0	0	0	0	3520	0	0
OTU_109	0	0	0	0	0	0	1453	0	0	0	0	0
OTU_110	103	0	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	51	0	36	0	0
OTU_112	0	461	0	0	0	0	0	0	0	14112	0	0
OTU_113	0	24335	0	0	0	0	0	0	1819	11782	0	0
OTU_114	60698	0	0	0	0	0	0	0	0	0	0	0
OTU_115	0	0	0	0	0	0	0	0	0	1100	0	0
OTU_116	29	0	0	0	0	0	0	0	0	0	0	0
OTU_117	0	58	0	0	0	0	38	0	0	0	0	0
OTU_118	102	0	0	0	0	0	10	0	0	0	0	0
OTU_119	0	0	0	0	0	0	0	0	40	0	0	0
