#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC10	BC11	BC12	BC13	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	BC34	BC35	BC36	BC37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC48	BC49	BC50	BC51	BC52	BC53	BC54	BC55	BC56	BC57	BC58	BC59	BC60	BC61	BC62	BC63	BC64	BC65	BC66	BC67	BC68	BC69	BC70	BC71	BC72	BC73	BC74	BC75	BC76	BC77	BC78	BC79	BC80	BC81	BC82	BC83	BC84	BC85	BC86	BC87	BC88	BC89	BC90	BC91	BC92	BC93	BC94	BC95	BC96
OTU_1	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0
OTU_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_4	4	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	2	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU_5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	45	1	14	0	3	9	2	18	3	0	3	0	1	3	0	5	8	3	4	1	0	6	5	0	61	2	3	0	1	2	3	2	37	1	1	3	14	7	0	13	2	5	1	6	0	4	2	1	8	25	2	0	1	15	6	3	19	3	1	10	8	0	12	7	20	4	3	2	0	2	0	13	7	30	13	0	0	2	17	3	1	0	1	0	1	5	1	1	2	0	4	0	15	1	1	6
OTU_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_10	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
